title;rating;address;metro;avg_check;breakfast;business_lunch;deleviry;parking;catering;banquets;telephone;site;restaurant_type;open_hours;positive_reviews;negative_reviews
Redwood Lounge;0;Москва, Саввинская наб., 12, стр. 8;['Фрунзенская', 'Спортивная', 'Лужники'];1700–3000 ₽;Нет;Нет;Нет;Есть;Есть;Есть;+7 (499) 393 39 82;http://savin.redwoodlounge.ru;['Бургеры', 'Европейская кухня', 'Паровые коктейли', 'Бары'];12:00 до 04:00;0;0
Jagger Hall;0;Москва, Рочдельская, 15, стр. 30, БЦ «Трехгорная мануфактура»;['Краснопресненская', 'Улица 1905 года', 'Баррикадная'];Нет;Нет;Нет;Нет;Есть;Нет;Есть;+7 903 961 75 65;Сайт;['Банкетные залы'];Время работы не указан;0;0
Пестики-тычинки;0;Москва, Б.Спасоглинищевский пер., 3, стр. 5;['Китай-город'];700–1700 ₽;Нет;Нет;Нет;Нет;Нет;Нет;+7 926 864 20 99;Нет;['Бургеры', 'Европейская кухня', 'Сэндвичи', 'Бары', 'Рюмочные'];14:00 до 02:00;0;0
Синлун;0;Москва, Покрышкина, 2, корп. 1;['Юго-Западная'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Есть;+7 925 525 23 14;Нет;['Вегетарианское меню', 'Китайская кухня'];12:00 до 00:00;0;0
Kitchen;0;Москва, Гризодубовой, 4, корп. 4;['ЦСКА'];700–1700 ₽;Нет;Нет;Есть;Есть;Есть;Есть;+7 926 021 08 80;http://www.cafe-kitchen.ru;['Европейская кухня', 'Сэндвичи', 'Кафе', 'Кондитерские'];09:00 до 22:00;0;0
Subway;0;Москва, Комсомольская пл., 2, в здании Казанского вокзала;['Комсомольская'];До 700 ₽;Нет;Нет;Нет;Нет;Нет;Нет;+7 926 428 80 41;http://www.subway.ru;['Американская кухня', 'Сэндвичи', 'Кафе', 'Фастфуд', 'Круглосуточно'];05:00 до 03:00;0;0
Лира;0;Москва, Солнечногорская, 4, стр. 1;['Речной вокзал', 'Водный стадион', 'Войковская', 'Балтийская'];700–1700 ₽;Есть;Есть;Нет;Есть;Нет;Есть;+7 965 151 91 64;http://liracafe.ru;['Европейская кухня', 'Итальянская кухня', 'Паста', 'Пицца', 'Русская кухня', 'Бары', 'Кафе'];09:00 до 21:00;0;0
Теремок;0;Москва, Ладожская, 5;['Бауманская'];До 700 ₽;Нет;Нет;Есть;Нет;Нет;Нет;+7 (495) 956 27 30 (единая справочная);http://www.teremok.ru;['Блины', 'Русская кухня', 'Кафе', 'Фастфуд'];08:00 до 22:00;0;0
Суши Wok;0;Москва, Нахимовский просп., 11, корп. 1;['Нахимовский проспект'];До 700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 (499) 754 44 44 (единая справочная);http://www.sushiwok.ru;['Вок', 'Итальянская кухня', 'Пицца', 'Суши', 'Японская кухня', 'Фастфуд'];10:00 до 23:00;0;0
25/7;0;Москва, ​Кузнецкий мост, 19, стр. 1;['Лубянка', 'Кузнецкий Мост'];Нет;Нет;Нет;Нет;Нет;Нет;Нет;+7 925 739 38 15;Нет;['Кондитерские', 'Кофейни'];08:00 до 20:00;0;0
Мечта;7.21 отзыв;Москва, Садовническая, 84, стр. 3–7;['Павелецкая'];1700–3000 ₽;Есть;Нет;Нет;Есть;Нет;Есть;+7 (495) 633 58 88;http://www.mechta-cafe.ru;['Европейская кухня', 'Итальянская кухня', 'Паста', 'Стейки', 'Суши', 'Шашлыки', 'Японская кухня', 'Винотеки', 'Караоке', 'Кафе', 'Веранды', 'Круглосуточно'];00:00 до 00:00;1;0
Cofix;0;Москва, Земляной Вал, 29, стр. 1, в здании Курского вокзала;['Курская', 'Чкаловская'];До 700 ₽;Есть;Нет;Нет;Нет;Нет;Нет;+7 968 870 00 08;http://www.cofix.ru;['Европейская кухня', 'Сэндвичи', 'Кофейни'];07:00 до 23:00;0;0
Kaido;0;Москва, М.Бронная, 25;['Маяковская', 'Тверская', 'Пушкинская', 'Чеховская'];1700–3000 ₽;Нет;Нет;Есть;Нет;Нет;Нет;+7 966 050 88 33;Нет;['Суши', 'Японская кухня'];12:00 до 23:00;0;0
KFC;0;Москва, Героев Панфиловцев, 1а, ТЦ «Оранжевый мир»;['Сходненская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 926 374 51 40;Сайт;['Американская кухня', 'Бургеры', 'Сэндвичи', 'Кафе', 'Фастфуд'];09:00 до 22:00;0;0
Kollektiv;0;Москва, Кутузовский просп., 24;[];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 962 998 73 73;Нет;['Кондитерские', 'Кофейни'];08:00 до 20:00;0;0
Latte;0;Москва, Ст.Басманная, 15, стр. 11, в саду им. Баумана;['Бауманская', 'Курская', 'Чкаловская'];700–1700 ₽;Есть;Нет;Нет;Есть;Нет;Нет;+7 985 134 84 44;http://www.lattegroup.net;['Европейская кухня', 'Паста', 'Сэндвичи', 'Кафе', 'Кофейни', 'Веранды'];10:00 до 22:00;0;0
Бекерс;0;Москва, Ленинский просп., 70/11;['Университет'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 965 398 77 78;http://www.bekers.ru;['Пекарни'];09:00 до 22:00;0;0
Burger King;0;Москва, Воздвиженка, 9, стр. 2;['Библиотека им. Ленина', 'Арбатская', 'Александровский сад', 'Боровицкая'];До 700 ₽;Есть;Нет;Есть;Нет;Нет;Нет;+7 (495) 544 50 00;Сайт;['Американская кухня', 'Бургеры', 'Кафе', 'Фастфуд'];08:00 до 02:00;0;0
7 сэндвичей;8.3;Москва, 4-й Сыромятнический пер., 3/5, стр. 3;['Курская', 'Чкаловская'];До 700 ₽;Нет;Нет;Есть;Нет;Нет;Нет;+7 985 727 37 76;http://7sandwiches.ru;['Европейская кухня', 'Сэндвичи', 'Кафе', 'Фастфуд'];09:00 до 23:00;0;0
Prime;0;Москва, Радио, 24, БЦ Yauza Tower;['Бауманская'];До 700 ₽;Есть;Нет;Есть;Нет;Нет;Нет;+7 (495) 664 23 63 (единая справочная);Сайт;['Вегетарианское меню', 'Европейская кухня', 'Суши', 'Сэндвичи', 'Японская кухня', 'Кафе', 'Фастфуд'];08:00 до 20:00;0;0
Вокмания;0;Москва, Люблинская, 153, ТК «Л-153»;['Братиславская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 255 57 57;Нет;['Вок', 'Китайская кухня', 'Паназиатская кухня', 'Суши', 'Японская кухня', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Конибодом;0;Москва, 22-й км Калужского ш., ОРПЦ «Фуд-сити», 2 этаж;['Теплый Стан'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;Нет;Нет;['Европейская кухня', 'Узбекская кухня', 'Кафе'];08:00 до 21:00;0;0
Кофе-хауз;0;Москва, Б.Тульская, 13, ТРЦ «Ереван-плаза»;['Тульская'];700–1700 ₽;Есть;Есть;Нет;Есть;Нет;Нет;+7 909 956 98 16;http://classic.coffeehouse.ru;['Блины', 'Европейская кухня', 'Паста', 'Сэндвичи', 'Кофейни'];10:00 до 22:00;0;0
Теремок;0;Москва, Измайловское ш., 71а, ТЦ «АСТ»;['Партизанская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 956 27 30 (единая справочная);http://www.teremok.ru;['Блины', 'Русская кухня', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Poet Brewery & Bar;0;Москва, Ниж.Сусальный пер., 5, стр. 7, бизнес-квартал «Арма»;['Курская', 'Чкаловская'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Нет;+7 (495) 136 63 11;http://poetbrewery.ru;['Бургеры', 'Европейская кухня', 'Бары', 'Пабы'];12:00 до 00:00;0;0
Free Choice Coffee;0;Москва, 3-я Парковая, 18/35;['Первомайская', 'Измайловская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 916 498 17 80;http://freechoicecoffee.business.site;['Кофейни'];07:30 до 23:00;0;0
Kafin;0;Москва, ​Олимпийский просп., 16, стр. 5;['Проспект Мира', 'Достоевская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;Нет;http://kafin.com;['Кондитерские', 'Кофейни'];09:00 до 20:00;0;0
Burger King;0;Москва, Преображенская пл., 6;['Преображенская площадь'];До 700 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 (495) 544 50 00;Сайт;['Американская кухня', 'Бургеры', 'Кафе', 'Фастфуд'];08:00 до 23:00;0;0
Заря;0;Москва, Петровка, 30/7;['Тверская', 'Пушкинская', 'Чеховская'];700–1700 ₽;Есть;Нет;Есть;Нет;Нет;Нет;+7 936 001 69 75;Нет;['Арабская кухня', 'Вегетарианское меню', 'Европейская кухня', 'Итальянская кухня', 'Немецкая кухня', 'Кофейни', 'Стритфуд'];10:00 до 23:00;0;0
Покровка, 16;0;Москва, Покровка, 16;['Чистые пруды', 'Курская', 'Китай-город', 'Чкаловская'];700–1700 ₽;Нет;Нет;Нет;Нет;Нет;Есть;+7 (495) 624 70 50;http://www.pokrovka-16.ru;['Грузинская кухня', 'Европейская кухня', 'Русская кухня', 'Хачапури', 'Караоке', 'Веранды'];ется в воскресенье в 12:00;0;0
The Бык;0;Москва, Комсомольский просп., 28, МДМ;['Фрунзенская'];700–1700 ₽;Есть;Нет;Нет;Есть;Нет;Нет;+7 (495) 988 17 17;Сайт;['Бургеры', 'Европейская кухня', 'Пицца', 'Стейки', 'Шашлыки'];12:00 до 23:00;0;0
KFC;0;Москва, Ореховый б-р, 15, ТЦ «Галерея Водолей»;['Домодедовская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 965 383 82 00;Сайт;['Американская кухня', 'Бургеры', 'Сэндвичи', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Мята Lounge;0;Москва, Нежинская, 17, корп. 2;['Мичуринский проспект'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (499) 348 15 62;http://myata-nezhinskaya.ru;['Европейская кухня', 'Паровые коктейли', 'Сэндвичи'];13:00 до 05:00;0;0
Партер;0;Москва, Мытищинский р-н, дер. Ларево, Хвойная, 2б, отель «Артурс Village & Spa»;[];1700–3000 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 (495) 644 41 21;http://www.arthurs-hotels.ru;['Европейская кухня', 'Банкетные залы'];08:00 до 23:00;0;0
Cofix;0;Москва, аэропорт Шереметьево, терминал «Аэроэкспресс»;[];До 700 ₽;Есть;Нет;Нет;Есть;Нет;Нет;+7 977 788 99 64;http://www.cofix.ru;['Европейская кухня', 'Сэндвичи', 'Кофейни'];07:30 до 21:00;0;0
Ля минор;0;Москва, Красногорский р-н, пос. Нахабино, Советская, 32;[];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Есть;+7 926 064 14 14;http://ляминорнахабино.рф;['Грузинская кухня', 'Европейская кухня', 'Итальянская кухня', 'Пицца', 'Русская кухня', 'Живая музыка', 'Кафе', 'Круглосуточно'];00:00 до 00:00;0;0
Sinla;0;Москва, Рочдельская, 15, стр. 1, БЦ «Трехгорная мануфактура»;['Краснопресненская', 'Улица 1905 года', 'Баррикадная'];Больше 3000 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 968 870 00 80;http://sinla.moscow;['Корейская кухня'];11:00 до 23:00;0;0
Шоколадница;0;Москва, аэропорт Домодедово, галерея вылета внутренних воздушных линий;['Домодедовская'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 926 640 79 50;http://www.shoko.ru;['Блины', 'Европейская кухня', 'Паста', 'Сэндвичи', 'Кондитерские', 'Кофейни', 'Круглосуточно'];00:00 до 00:00;0;0
Братья Караваевы;7.7;Москва, Тимура Фрунзе, 11, стр. 7, ДК «Красная роза», БЦ «Клейн»;['Парк культуры'];До 700 ₽;Есть;Нет;Есть;Нет;Нет;Нет;+7 (495) 790 85 84;Сайт;['Европейская кухня', 'Пироги', 'Сэндвичи', 'Кафе', 'Кондитерские', 'Кулинарии', 'Пекарни'];08:00 до 23:00;0;0
The Truffle;0;Москва, Рождественский б-р, 1, Центральный рынок;['Цветной бульвар', 'Трубная'];700–1700 ₽;Есть;Нет;Нет;Есть;Нет;Нет;Нет;Нет;['Европейская кухня', 'Паста', 'Кафе'];08:00 до 22:00;0;0
Хочу хычин;0;Москва, Стремянный пер., 38;['Добрынинская', 'Серпуховская'];До 700 ₽;Нет;Нет;Есть;Нет;Нет;Нет;+7 915 120 65 65 (доставка);http://www.hochu-hichin.ru;['Балкарская кухня', 'Кафе', 'Халяльные рестораны'];09:00 до 00:00;0;0
Кофейня;0;Москва, Саввинская наб., 21;['Фрунзенская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 297 77 75;Нет;['Кофейни', 'Круглосуточно'];00:00 до 00:00;0;0
Сеньор Денер;0;Москва, ​Солнечная, 3а, стр. 1;['Филатов луг'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 800 511 45 03;http://senordoner.ru;['Турецкая кухня', 'Шаурма', 'Кафе', 'Фастфуд'];09:00 до 22:00;0;0
AL33 Gran Corona;0;Москва, Ленинградский просп., 33, корп. 4;['Динамо', 'Петровский парк'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 968 670 03 33;http://www.al33grancorona.ru;['Итальянская кухня', 'Паста', 'Пицца', 'Стейки'];11:00 до 23:00;0;0
Burger King;0;Москва, просп. Мира, 92, стр. 1, универмаг «Крестовский»;['Рижская'];До 700 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 (495) 544 50 00;Сайт;['Американская кухня', 'Бургеры', 'Кафе', 'Фастфуд'];09:00 до 23:00;0;0
Лан Ма;0;Москва, Покровка, 3/7, стр. 1;['Китай-город'];700–1700 ₽;Нет;Есть;Есть;Нет;Нет;Нет;+7 (495) 785 03 73;http://lan-ma.ru;['Китайская кухня', 'Кафе'];11:00 до 05:00;0;0
Шоколадница;0;Москва, аэропорт Шереметьево, терминал D, 3 этаж, зона вылета международных рейсов;[];700–1700 ₽;Есть;Есть;Нет;Есть;Нет;Нет;+7 800 100 33 60;http://shoko.ru;['Блины', 'Европейская кухня', 'Паста', 'Сэндвичи', 'Кондитерские', 'Кофейни', 'Круглосуточно'];00:00 до 00:00;0;0
Coffee Moose;0;Москва, Пролетарский просп., 14/49, корп. 2;['Кантемировская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 915 166 99 89;http://coffee-moose.ru;['Кофейни'];08:00 до 20:00;0;0
Grill & Gyros;0;Москва, В.Радищевская, 15, корп. 1;['Таганская', 'Марксистская'];До 700 ₽;Нет;Нет;Нет;Нет;Нет;Нет;+7 903 550 31 32;http://www.grillgyros.ru;['Греческая кухня', 'Сэндвичи', 'Кафе', 'Фастфуд', 'Веранды'];07:00 до 23:00;0;0
Rootin Tootin;0;Москва, Аргуновская, 10, стр. 2;['ВДНХ'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 985 773 36 86;http://pub-rootin-tootin.clients.site;['Бургеры', 'Европейская кухня', 'Бары', 'Живая музыка', 'Пабы'];16:00 до 00:00;0;0
Суши Wok;0;Москва, Академика Янгеля, 2;['Улица Академика Янгеля'];До 700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 (499) 754 44 44 (единая справочная);http://www.sushiwok.ru;['Вок', 'Итальянская кухня', 'Пицца', 'Суши', 'Японская кухня', 'Фастфуд'];10:00 до 23:00;0;0
Вертели;0;Москва, Трубная, 28, стр. 1, БЦ «На Трубной»;['Цветной бульвар', 'Трубная'];700–1700 ₽;Есть;Нет;Нет;Нет;Нет;Есть;+7 903 739 49 22;Нет;['Грузинская кухня', 'Хачапури', 'Хинкали', 'Шашлыки'];09:00 до 00:00;0;0
Cofix;0;Москва, Профсоюзная, 102, стр. 1, ТЦ «Ареал»;['Беляево'];До 700 ₽;Есть;Нет;Нет;Нет;Нет;Нет;+7 915 250 23 34;http://www.cofix.ru;['Европейская кухня', 'Сэндвичи', 'Кофейни'];09:00 до 22:00;0;0
Lalaland;0;Москва, 2-й Донской пр., 10;['Ленинский проспект', 'Площадь Гагарина'];1700–3000 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 (499) 686 05 35;Сайт;['Бургеры', 'Итальянская кухня', 'Паровые коктейли', 'Пицца', 'Шашлыки', 'Бары', 'Караоке'];12:00 до 06:00;0;0
Burger King;0;Москва, Поляны, 8, ТЦ «Вива»;['Бульвар Дмитрия Донского', 'Улица Старокачаловская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 544 50 00;Сайт;['Американская кухня', 'Бургеры', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Метехи;7.3;Москва, Обручева, 55а;['Калужская', 'Воронцовская'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 331 60 00;Нет;['Грузинская кухня', 'Хачапури', 'Хинкали', 'Кафе'];12:00 до 23:00;0;0
Лима;0;Москва, Дружинниковская, 15;['Краснопресненская', 'Баррикадная'];700–1700 ₽;Нет;Нет;Есть;Есть;Есть;Есть;+7 (499) 678 01 50;http://www.limamoscow.ru;['Вок', 'Европейская кухня', 'Латиноамериканская кухня', 'Паста', 'Перуанская кухня', 'Русская кухня', 'Бары', 'Кафе', 'Коктейльная карта'];12:00 до 05:00;0;0
Пивбар;0;Москва, просп. Андропова, 48;['Коломенская'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 (495) 663 15 73;http://www.piv-bar.ru;['Американская кухня', 'Бургеры', 'Вегетарианское меню', 'Европейская кухня', 'Стейки', 'Бары', 'Пивные рестораны', 'Спортбары'];12:00 до 03:00;0;0
Про пельмени;0;Москва, Ниж.Красносельская, 35, стр. 59, рынок «Гастроферма»;['Красносельская', 'Бауманская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;Нет;Нет;['Пельмени', 'Русская кухня', 'Кафе'];10:30 до 21:00;0;0
Олимпия;0;Москва, Борисовские Пруды, 10, корп. 5;['Борисово'];700–1700 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 (495) 340 89 96;Сайт;['Азербайджанская кухня', 'Европейская кухня', 'Русская кухня', 'Кафе', 'Веранды'];10:00 до 05:00;0;0
Будайский дворик;0;Москва, Будайский пр., 8;['Ростокино'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Есть;+7 903 290 20 70;Сайт;['Европейская кухня', 'Русская кухня', 'Кафе'];11:00 до 00:00;0;0
Фильтр;0;Москва, Петровка, 17/7, крыльцо бара «Вода»;['Тверская', 'Пушкинская', 'Чеховская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;Нет;Нет;['Кофейни'];09:00 до 18:00;0;0
Шоколадница;0;Москва, 66-й км МКАД, пересечение с Волоколамским ш., ТРЦ «Vegas Крокус-сити»;['Мякинино'];700–1700 ₽;Есть;Есть;Есть;Есть;Нет;Нет;+7 915 474 50 18;http://www.shoko.ru;['Блины', 'Европейская кухня', 'Паста', 'Сэндвичи', 'Кондитерские', 'Кофейни'];10:00 до 00:00;0;0
Cofix;0;Москва, Каширское ш., 61, корп. 2, ТРЦ «Каширская плаза»;['Домодедовская'];До 700 ₽;Есть;Нет;Нет;Нет;Нет;Нет;+7 965 153 95 95;http://www.cofix.ru;['Европейская кухня', 'Сэндвичи', 'Кофейни'];09:00 до 22:00;0;0
Burger King;0;Москва, микрорайон Некрасовка, Покровская, 18;[];До 700 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 (495) 544 50 00;Сайт;['Американская кухня', 'Бургеры', 'Кафе', 'Фастфуд'];08:00 до 03:00;0;0
Кулинарная студия «Донна Маргарита»;0;Москва, ул. 1905 года, 2, стр. 1;['Улица 1905 года'];Нет;Нет;Нет;Нет;Есть;Нет;Есть;+7 (499) 682 70 01;http://donnamargaritastudio.ru;['Кулинарные студии', 'Веранды'];Время работы не указан;0;0
Segreto salone;0;Москва, Благовещенский пер., 10, стр. 2;['Маяковская'];1700–3000 ₽;Нет;Нет;Нет;Нет;Есть;Есть;+7 926 737 55 77;http://segretobar.ru;['Европейская кухня', 'Бары', 'Гастробары', 'Коктейльная карта', 'Бранчи'];18:00 до 03:00;0;0
Каспий;0;Москва, Ярославское ш., 146, корп. 2, МФК «Ханой-Москва»;[];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 995 111 21 21;http://vk.com/public211087295;['Азербайджанская кухня', 'Европейская кухня', 'Шашлыки', 'Кафе', 'Круглосуточно'];00:00 до 00:00;0;0
Share;3 отзыва;Москва, Вознесенский пер., 5, стр. 1;['Тверская', 'Арбатская', 'Пушкинская', 'Чеховская'];1700–3000 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 (495) 105 92 77;http://share-bistro.com;['Вегетарианское меню', 'Европейская кухня', 'Итальянская кухня', 'Паста', 'Стейки', 'Кафе'];12:00 до 23:00;0;3
9 Bar Coffee;0;Москва, Бережковская наб., 16а;['Студенческая', 'Киевская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 118 26 54;http://9barcoffee.ru;['Кофейни'];08:00 до 19:00;0;0
Суши Wok;0;Москва, Сущевский Вал, 63;['Марьина Роща'];До 700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 (499) 754 44 44 (единая справочная);http://www.sushiwok.ru;['Вок', 'Итальянская кухня', 'Пицца', 'Суши', 'Японская кухня', 'Фастфуд'];10:00 до 23:00;0;0
Выпекай-ка;0;Москва, Веерная, 3, корп. 5;['Ломоносовский проспект', 'Мичуринский проспект'];Нет;Нет;Нет;Есть;Есть;Нет;Нет;+7 985 244 31 78;Сайт;['Торты на заказ', 'Кондитерские', 'Пекарни'];08:00 до 21:00;0;0
Burger Heroes;0;Москва, ​Ниж.Радищевская, 5, стр. 1;['Таганская', 'Марксистская'];До 700 ₽;Нет;Есть;Есть;Есть;Есть;Нет;+7 967 091 19 67;http://burgerheroes.ru;['Американская кухня', 'Бургеры', 'Европейская кухня', 'Кафе', 'Фастфуд'];11:00 до 02:00;0;0
Ля фантази;0;Москва, 2-й Донской пр., 10, стр.2;['Ленинский проспект', 'Площадь Гагарина'];До 700 ₽;Нет;Нет;Есть;Нет;Есть;Нет;+7 (495) 374 75 10 (единая справочная);http://www.lafantasi.ru;['Блины', 'Европейская кухня', 'Пироги', 'Русская кухня', 'Кулинарии'];08:00 до 19:00;0;0
What's up Dog!;0;Москва, просп. Андропова, 39, на территории музея-заповедника «Коломенское»;['Коломенская'];До 700 ₽;Нет;Нет;Нет;Нет;Нет;Нет;Нет;http://www.whatsupdog.ru;['Американская кухня', 'Сэндвичи', 'Стритфуд', 'Фастфуд'];10:00 до 22:00;0;0
Dilly;0;Москва, Ленинский просп., 85;['Университет'];1700–3000 ₽;Есть;Нет;Есть;Есть;Нет;Есть;+7 925 793 90 20;http://dilly.moscow;['Европейская кухня', 'Стейки', 'Бары', 'Гастробары', 'Кафе', 'Коктейльная карта'];10:00 до 23:00;0;0
KFC;0;Москва, Профсоюзная, 61a, ТЦ «Калужский»;['Калужская', 'Воронцовская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 727 43 08;Сайт;['Американская кухня', 'Бургеры', 'Сэндвичи', 'Кафе', 'Фастфуд'];10:00 до 23:00;0;0
Якитория;0;Москва, Ленинский просп., 68/10;['Университет'];1700–3000 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 (499) 147 52 72;http://www.yakitoriya.ru;['Бургеры', 'Вок', 'Европейская кухня', 'Паназиатская кухня', 'Пицца', 'Суши', 'Японская кухня', 'Кафе', 'Веранды'];10:00 до 02:00;0;0
Шоколадница;0;Москва, Краснопрудная, 26/1;['Красносельская'];700–1700 ₽;Есть;Есть;Есть;Есть;Нет;Нет;+7 985 316 23 47;http://www.shoko.ru;['Блины', 'Европейская кухня', 'Паста', 'Сэндвичи', 'Кондитерские', 'Кофейни'];07:00 до 22:00;0;0
Усадьба Крекшино;0;Москва, дер. Крекшино, Озерная, 2б;[];1700–3000 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 (495) 646 83 36;Сайт;['Европейская кухня', 'Русская кухня'];10:00 до 00:00;0;0
Kvadrat;0;Москва, Кривоколенный пер., 3;['Лубянка', 'Кузнецкий Мост'];700–1700 ₽;Нет;Есть;Нет;Нет;Нет;Нет;+7 (495) 111 03 30;http://vk.com/kvadrat.gastropub;['Европейская кухня', 'Гастропабы'];12:00 до 02:00;0;0
Donutto;0;Москва, Алтуфьевское ш., 8, ТРЦ «Алтуфьевский»;['Владыкино'];Нет;Нет;Нет;Есть;Есть;Нет;Нет;+7 916 237 67 64;http://donuttocafe.ru;['Кондитерские', 'Кофейни'];10:00 до 22:00;0;0
Ja-ma-mai;0;Москва, Краснопрудная, 22/24;['Красносельская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 985 785 77 66;http://www.jamamai.ru;['Тайская кухня', 'Стритфуд'];10:00 до 22:00;0;0
Ля фантази;0;Москва, Бескудниковский б-р, 6, корп. 2;['Верхние Лихоборы'];До 700 ₽;Нет;Нет;Есть;Нет;Есть;Нет;+7 (495) 374 75 10 (единая справочная);http://www.lafantasi.ru;['Блины', 'Европейская кухня', 'Пироги', 'Русская кухня', 'Кулинарии'];09:00 до 19:00;0;0
Cofix;0;Москва, Мясницкая, 10, стр. 1;['Лубянка', 'Кузнецкий Мост', 'Китай-город'];До 700 ₽;Есть;Нет;Нет;Есть;Нет;Нет;+7 985 112 68 36;http://www.cofix.ru;['Европейская кухня', 'Сэндвичи', 'Кофейни'];08:00 до 21:00;0;0
Трактир на Лодочной;0;Москва, Свободы, 35, стр. 39;['Сходненская', 'Тушинская'];До 700 ₽;Нет;Есть;Нет;Есть;Нет;Есть;+7 (495) 121 72 01;http://налодочной.рф;['Грузинская кухня', 'Европейская кухня', 'Русская кухня', 'Бары', 'Живая музыка', 'Кафе', 'Коктейльная карта', 'Спортбары'];11:00 до 00:00;0;0
Munchies Pizza & Bierra;0;Москва, Научный пр., 8, стр. 1, ОЦ «На Научном»;['Калужская', 'Воронцовская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (499) 288 84 20;http://munchiespizza.ru;['Итальянская кухня', 'Паста', 'Пицца'];11:00 до 23:30;0;0
Burger King;0;Москва, Бартеневская, 12, гипермаркет «Карусель»;['Бульвар Адмирала Ушакова', 'Улица Горчакова'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 544 50 00;Сайт;['Американская кухня', 'Бургеры', 'Кафе', 'Фастфуд', 'Круглосуточно'];Время работы не указан;0;0
Мята Lounge;0;Москва, Б.Черемушкинская, 3, стр. 1;['Крымская'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 964 708 80 00;http://vk.com/myata_krymskaya;['Европейская кухня', 'Паровые коктейли', 'Сэндвичи', 'Чайные'];12:00 до 06:00;0;0
Крошка-картошка;0;Москва, пл. Киевского Вокзала, 2, ТРЦ «Европейский»;['Киевская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 995 21 34 (единая справочная);http://www.kartoshka.com;['Русская кухня', 'Сэндвичи', 'Кафе', 'Фастфуд'];10:00 до 23:00;0;0
Тульский дворик;0;Москва, Серпуховский Вал, 1;['Тульская'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Есть;+7 985 478 92 93;Нет;['Грузинская кухня', 'Европейская кухня', 'Русская кухня', 'Кафе', 'Веранды'];11:00 до 00:00;0;0
